2760925,4
2771451,0
2782209,0
2783345,0
2794023,0
2797217,1
2799076,4
2802160,0
2814003,1
2830183,0
2831567,1
2832460,1
2833073,0
2838476,0
2839858,1
2840219,0
2840553,0
2846764,0
2847199,3
2848063,0
2852274,4
2854000,0
2857143,4
2866083,0
2868276,0
2868714,1
2872584,0
2873491,2
2874224,1
2875758,0
2876753,4
2879904,4
2883285,0
2890437,0
2891719,0
2901823,4
2902319,1
2902671,1
2904023,0
2911919,4
2928203,4
2931527,1
2941603,0
2946363,1
2953434,0
2958289,0
2961386,0
2966696,0
2966701,0
2970345,1
2997110,4
3004257,4
3006903,0
3020566,4
3024669,4
3076709,4
3085645,4
3172017,4
3178187,4
3473951,1
3477254,0
3493548,1
3547601,1
3554298,1
3564147,0
3591650,0
3004646,0
3007101,0
3018942,0
3032460,0
3033681,1
3034472,0
3036605,1
3041957,1
3046524,1
3047823,0
3055383,1
3056353,2
3056780,4
3057453,4
3061846,1
3063618,1
3068783,1
3075748,3
3077701,1
3080906,3
3083718,3
3085866,3
3086292,1
3087456,4
3088460,4
3092082,1
3092553,0
3093943,0
3095076,0
3096582,4
3097545,3
3098528,0
3100133,3
3102005,0
3108423,4
3109097,3
3115123,3
3116082,0
3116116,1
3118423,4
3119591,0
3119869,2
3121492,1
3128786,0
3132644,0
3133945,3
3141366,3
3144223,0
3146012,1
3151799,0
3158008,2
3159043,1
3163934,0
3172826,3
3179463,0
3180443,0
3180724,0
3181224,0
3183509,0
3184844,4
3185115,4
3185385,1
3185656,1
3197505,0
3209893,4
3210182,0
3211603,4
3213258,3
3213914,3
3214285,0
3217022,0
3220065,0
3229223,3
3230988,0
3231372,0
3238347,1
3240799,1
3243504,3
3244120,4
3244891,3
3245307,0
3246200,1
3247234,3
3251070,3
3254260,1
3263480,3
3267734,0
3272126,1
3303563,4
3308383,3
3321716,1
3327683,3
3329026,1
3332863,0
3334423,0
3334878,1
3358303,3
3407387,0
3411936,4
3415405,4
3418543,1
3426987,4
3463388,4
4167020,0
4168025,0
4193601,0
4214778,0
4235583,0
4246363,0
4248179,0
4271177,0
4280743,1
4282897,0
4289494,0
4291537,0
4312455,0
4312831,1
4314437,1
4317117,0
4329791,0
4343026,1
4351487,0
4389404,0
4397805,0
4406717,1
4415778,4
4422507,0
4457332,0
4464597,1
4481966,3
4482491,3
4574223,3
4685397,4
3395763,1
3398124,0
3406163,1
3407629,1
3415943,1
3424995,1
3427711,1
3435055,1
3436986,0
3441204,1
3442235,1
3450321,1
3450810,0
3453486,1
3453943,0
3454963,0
3455394,0
3458663,1
3464870,1
3465697,0
3466709,1
3472668,1
3492143,1
3506645,1
3507637,1
3509444,0
3510903,0
3511988,0
3542183,0
3554195,1
3565523,0
3579547,4
3621780,1
3640215,0
3658387,0
